11/05/2015 19:00,La Crescenta,Circle,3 seconds
11/05/2015 18:05,San Diego,Chevron,5 seconds
11/04/2015 21:00,Lakewood,Light,5 minutes
11/04/2015 20:30,Covina,Light,5 seconds
11/04/2015 09:30,Berkeley,Light,5 minutes
11/04/2015 05:50,Marysville,Circle,30 seconds
11/04/2015 04:48,San Rafael,Changing,15 seconds
11/02/2015 18:13,Corona,Flash,1 second
11/02/2015 16:10,San Diego,Oval,10 minutes
10/31/15 23:45,San Diego,Oval,2 minutes
10/31/15 19:45,Escondido,Light,3 minutes
10/30/15 01:09,Signal Hill,Triangle,45 seconds
10/29/15 00:30,Lynwood,Oval,20 minutes
10/28/15 23:00,Baldwin Park,Cross,30 seconds
10/26/15 18:10,Diamond Bar,Light,10 minutes
10/25/15 19:00,Santa Rosa,Fireball,1  minute
10/25/15 06:15,San Diego,Unknown,10 minutes
10/24/15 23:15,Los Angeles,Unknown,5 minutes
10/24/15 21:00,Modesto,Light,1 minute
10/24/15 20:25,North Hollywood,Unknown,35 seconds
10/23/15 22:55,Avocado Heights,Sphere,15 seconds
10/23/15 22:48,San Rafael,Sphere,3 seconds
10/23/15 22:46,Yountville,Fireball,5 seconds
10/23/15 22:40,Idyllwild,Fireball,10 seconds
10/23/15 22:30,Seal Beach,Fireball,10 seconds
10/22/15 19:55,Madera,Light,3 minutes
10/22/15 08:00,Sacramento,Flash,2 seconds
10/21/15 19:03,Anaheim,Light,4 minutes
10/21/15 05:50,Sunnyvale,Circle,3 minutes
10/21/15 05:40,Salinas,Fireball,10 seconds
10/21/15 05:30,San Luis Obispo,Oval,3 minutes
10/21/15 05:00,Paso Robles,Light,5 minutes
10/21/15 03:00,Modesto,Circle,30 minutes
10/20/15 20:00,San Dimas,Formation,5 seconds
10/20/15 05:15,Williams,Unknown,1 hour
10/18/15 19:00,Venice beach,Circle,5 minutes
10/16/15 23:00,Roseville,Circle,5 seconds
10/16/15 21:20,Bakersfield,Unknown,12 minutes
10/16/15 20:30,Modesto,Light,3 minutes
10/16/15 20:00,Sacramento,Oval,30 minutes
10/15/15 19:57,Roseville,Unknown,25 minutes
10/14/15 20:36,Santa Ana,Oval,1 minutes
10/14/15 08:30,Long Beach,Flash,30 minutes
10/13/15 21:53,Cypress,Cone,3 seconds
10/13/15 21:46,Clairemont,Sphere,5 seconds
10/13/15 21:04,Orange,Unknown,30 minutes
10/13/15 21:00,Fall River Mills,Flash,10 minutes
10/13/15 20:00,Mountain View,Light,2.5 hours
10/13/15 17:35,Placentia,Diamond,10 minutes
10/13/15 04:30,Organ House,Changing,2 hours
10/12/2015 03:42,Vacaville,Fireball,5 minutes
10/11/2015 21:00,Carlsbad,Triangle,10 seconds
10/11/2015 05:30,Norwalk,Unknown,1 hour
10/11/2015 00:43,Morgan Hill,Light,40 seconds
10/10/2015 22:30,Oxnard,Fireball,2 seconds
10/10/2015 22:00,Lakewood,Fireball,3 minutes
10/10/2015 20:30,Lincoln,Light,10 minutes
10/10/2015 20:00,Moorpark,Triangle,3 seconds
10/10/2015 06:55,Diamond Bar,Changing,30 seconds
10/09/2015 22:25,Lakewood,Fireball,2 minutes
10/09/2015 21:00,Laytonville,Light,10 minutes
10/09/2015 17:06,Santa Rosa,Cross,15 minutes
10/09/2015 06:40,Pacoima,Circle,3 minutes
10/08/2015 23:00,Martinez,Triangle,1.5 minutes
10/08/2015 10:05,Fresno,Teardrop,20 seconds
10/08/2015 10:05,Fresno,Teardrop,20 seconds
10/08/2015 06:00,Los Alamos,Fireball,3 minutes
10/08/2015 05:00,Near Woody,Circle,1 minute
10/07/2015 09:30,Redlands ,Unknown,5 seconds
10/05/2015 07:06,Escondido,Triangle,15 seconds
10/04/2015 20:40,Saratoga,Light,30 minutes
10/03/2015 20:00,Armona,Light,65 seconds
10/03/2015 20:00,Crescent City,Triangle,5 minutes
10/03/2015 18:50,Winchester ,Light,10 minutes
10/02/2015 20:30,Chula Vista,Triangle,20 seconds
10/02/2015 19:00,Magalia,Flash,30 minutes
10/01/2015 03:30,Barstow,Cigar,1 minute
9/30/15 20:00,Long Beach,Light,30 minutes
9/30/15 19:51,Los Angeles,Light,1 second
9/29/15 22:55,Hesperia,Fireball,10 seconds
9/29/15 19:51,Los Angeles,Light,14 minutes
9/28/15 23:00,Oceanside,Changing,5 minutes
9/28/15 20:00,Sacramento,Light,30 minutes
9/28/15 20:00,Warner Springs,Fireball,9 seconds
9/28/15 19:55,Palm Desert,Fireball,5 seconds
9/28/15 00:00,Fontana,Circle,20 minutes
9/27/15 22:40,Garden Grove,Unknown,14 seconds
9/27/15 21:00,Norwalk,Unknown,30 minutes
9/27/15 20:45,Oceanside,Light,30 seconds
9/27/15 20:30,San Clemente,Formation,30 minutes
9/27/15 20:30,Paradise,Light,15 minutes
9/27/15 20:27,Yucca Valley,Triangle,10 seconds
9/27/15 20:25,Long Beach,Light,20 seconds
9/27/15 19:33,Los Angeles,Light,1 second
9/27/15 19:25,San Bernardino,Light,50 seconds
9/27/15 19:15,Paso Robles,Light,5 minutes
9/27/15 18:00,Los Angeles,Teardrop,2 minutes
9/27/15 01:45,Loomis,Triangle,30 seconds
9/26/15 22:00,Campbell,Sphere,3 minutes
9/26/15 21:30,Clovis,Light,5 min
9/26/15 19:00,Fontana,Circle,5 min
9/26/15 07:45,Rocklin,Light,20 seconds
9/25/15 22:35,Temecula,Light,5 minutes
9/25/15 21:30,San Clemente,Unknown,2 minutes
9/24/15 20:15,San Carlos,Light,30 minutes
9/24/15 08:00,Marin County,Cylinder,45 minutes
9/24/15 05:00,San Jose,Light,1 second
9/24/15 00:00,Novato,Cigar,1.5 minutes
9/23/15 20:45,Fairfield,Circle,3 seconds
9/21/15 23:55,Manhattan Beach,Unknown,10 minutes
9/20/15 20:45,Carpinteria,Formation,1 minute
9/19/15 21:04,Roseville,Formation,10 seconds
9/19/15 20:55,Moro Bay,Unknown,4 minutes
9/19/15 13:14,Roseville,Oval,2 minutes
9/19/15 02:00,San Jose,Changing,10 minutes
9/19/15 02:00,Tehachapi,Circle,45 minutes
9/18/15 22:00,Sherman Oaks,Chevron,8 seconds
9/18/15 21:10,Modesto,Light,18 minutes
9/18/15 20:00,Hayward,Changing,1 hours
9/18/15 11:00,San Diego,Unknown,5 minutes
9/18/15 06:30,Madera,Light,10 minutes
9/17/15 22:55,Loma Linda,Unknown,15 seconds
9/17/15 19:48,Orange,Sphere,3 minutes
9/17/15 19:40,Los Angeles,Circle,1 second
9/17/15 19:35,Yucca Valley,Circle,1 minute
9/17/15 14:45,Sacramento,Circle,1 hour
9/15/15 10:00,Roseville,Sphere,45 minutes
9/15/15 04:30,Roseville,Oval,45 minutes
9/14/15 21:00,El Soreno,Cigar,3 minutes
9/14/15 19:00,Imperial Beach,Triangle,45 seconds
9/14/15 05:45,Downey,Unknown,30 seconds
9/14/15 00:45,Calabasas,Light,5 minutes
9/14/15 00:00,Los Angeles,Unknown,10 minutes
9/13/15 02:00,South Gate,Oval,20 minutes
09/10/2015 20:15,Antioch,Light,12 seconds
09/10/2015 17:00,Santa Maria,Fireball,5 minutes
09/09/2015 21:30,San Jose,Chevron,10 seconds
09/09/2015 19:00,Woodland,Unknown,2 minutes
09/08/2015 23:00,Oceano,Rectangle,15 seconds
09/08/2015 22:30,Cambria,Unknown,30 seconds
09/08/2015 21:00,Red Bluff,Cone,1 minute
09/07/2015 04:59,Anaheim,Light,7 hours
09/06/2015 21:30,Campbell,Fireball,4 seconds
09/06/2015 16:00,Trinidad,Unknown,4 minutes
09/05/2015 21:35,Hayward,Formation,6 minutes
09/05/2015 20:35,Petaluma,Light,5 seconds
09/04/2015 21:00,Los Olivos,Circle,3 minutes
09/02/2015 21:45,Salton Sea,Circle,10 minutes
09/02/2015 15:00,Malibu,Oval,30 minutes
8/31/15 16:00,Hemet,Light,55 minutes
8/30/15 02:00,Chino,Changing,45 seconds
8/29/15 09:30,San Diego,Fireball,3 minutes
8/27/15 21:30,Daly City,Unknown,20 minutes
8/24/15 18:45,Oakley,Fireball,2 minutes
8/23/15 21:20,Pomona,Light,2 minutes
8/23/15 21:00,El Monte,Unknown,3 seconds
8/23/15 05:00,Culver City,Triangle,35 minutes
8/22/15 14:00,South Gate,Unknown,7 minutes
8/21/15 20:00,Los Angeles,Light,45 minutes
8/21/15 18:45,Southgate,Cigar,8 minutes
8/21/15 05:30,Oakdale,Circle,5 minutes
8/20/15 21:25,Palm Spings,Unknown,8 seconds
8/20/15 13:00,Pismo,Fireball,5 seconds
8/19/15 23:00,Salton Sea,Circle,15 minutes
8/18/15 21:00,Hesperia,Oval,15 minutes
8/15/15 20:53,Laguna Beach,Cylinder,90 seconds
8/15/15 13:41,Spring valley,Rectangle,5 seconds
8/14/15 22:00,Manteca,Diamond,20 seconds
8/14/15 21:49,Ventura,Light,30 minutes
8/13/15 22:00,Stockton,Triangle,10 seconds
8/13/15 21:00,Modesto,Light,50 minutes
8/13/15 13:06,Lawndale,Light,48 seconds
8/13/15 00:30,Nipomo,Fireball,45 seconds
8/13/15 00:30,Long Beach,Formation,1 minute
08/12/2015 22:30,Fremont,Light,3 minutes
08/12/2015 18:38,Marina del Rey,Light,1 minute
08/12/2015 00:45,Mt. Laguna,Oval,1 hour
08/11/2015 23:56,Oxnard,Flash,3 seconds
08/10/2015 22:15,Goleta ,Light,2 minutes
08/10/2015 21:09,East Palo Alto,Formation,20 minutes
08/10/2015 04:00,Antioch,Fireball,5 minutes
08/09/2015 22:30,Grass Valley,Oval,30 seconds
08/09/2015 15:00,Monterey Park,Unknown,30 minutes
08/09/2015 15:00,Monterey Park,Unknown,20 minutes
08/08/2015 19:30,Vallejo,Cone,20 minutes
08/07/2015 23:15,Chino Hills,Light,4 minutes
08/07/2015 17:30,North Hollywood,Unknown,10 minutes
08/07/2015 15:30,Burbank,Triangle,4 minutes
08/06/2015 22:18,Antioch,Light,20 minutes
08/06/2015 21:30,Santa Cruz,Fireball,3 minutes
08/05/2015 22:00,Fresno ,Chevron,5 minutes
08/05/2015 22:00,South Gate,Fireball,10 seconds 
08/05/2015 21:30,Hayward,Circle,2 minutes
08/04/2015 23:00,Modesto,Diamond,5 minutes
08/03/2015 22:11,Buena Park,Light,15 seconds
08/03/2015 20:00,San Diego,Oval,1 minutes
08/01/2015 02:05,Ventura,Unknown,30 seconds
7/31/15 23:00,Stockton,Sphere,2 minutes
7/31/15 20:40,Coalinga,Light,5 minutes
7/31/15 17:00,San Francisco,Cylinder,20 seconds
7/29/15 22:00,Salton City,Circle,5 minutes
7/29/15 20:27,Ramona,Light,1 minute
7/29/15 13:30,Chula Vista,Circle,2 minutes
7/28/15 01:15,Antioch,Fireball,15 minutes
7/26/15 08:15,Whittier,Circle,2 minutes
7/25/15 23:02,Antelope,Flash,15 minutes
7/25/15 22:30,Irvine,Triangle,5 minutes
7/25/15 21:45,Salinas,Light,1 hour 
7/24/15 22:15,Highland,Triangle,5 minutes
7/23/15 23:15,Aptos,Sphere,2 minutes
7/22/15 22:30,Santa Maria,Fireball,15 minutes
7/20/15 02:00,Rocklin,Triangle,5 minutes
7/19/15 22:12,Santa Barbara,Circle,2 minutes
7/18/15 20:15,Palm Springs,Circle,5 minutes
7/18/15 12:21,Chico,Cone,1 hour
7/18/15 02:30,Rancho Palos Verdes,Triangle,17 seconds
7/17/15 23:00,Bakersfield,Unknown,1 minutes
7/17/15 17:00,Mount Shasta,Circle,2 hours
7/16/15 21:10,Palmdale,Triangle,2 minutes
7/16/15 20:35,Escondido,Light,2 minutes
7/16/15 01:45,Encinitas,Circle,30 minutes
7/15/15 22:11,Torrance,Triangle,3 seconds
7/15/15 20:40,Sacramento,Fireball,5 minutes
7/13/15 22:00,Monterey,Unknown,1.5 hours
7/13/15 21:54,Firebaugh,Light,2 seconds
07/12/2015 22:00,Huntington Beach,Unknown,1 second
